country_code,variable,statistic,pvalue,lags
ROU,linv,-1.9676749529162398,0.3009238246632997,1
RUS,linv,-2.805333221414324,0.057515984446668326,1
RWA,linv,-2.395886979677042,0.14290064505362027,1
SAU,linv,-1.8693601128361677,0.34660947079451804,1
SDN,linv,1.9743428206735443,0.9986386704068093,1
SEN,linv,1.0511948649916072,0.9947777922635624,1
SGP,linv,-2.1208484738293607,0.23621437696960756,1
SLB,linv,-1.1920060926741867,0.6770250009389845,1
SLE,linv,-1.8851642305110747,0.3390721864459534,1
SLV,linv,-1.7513382338971335,0.40487423407223705,1
SMR,linv,-2.368065101092601,0.15095336349595706,1
SOM,linv,0.5321157232701249,0.9858172231497507,1
SRB,linv,-2.0467809086703195,0.2664452008752462,1
SSD,linv,-0.9563678172776615,0.7688438013802685,1
STP,linv,-0.07320497124215815,0.9520428808790312,1
SVK,linv,-2.006004740065158,0.28394645239649086,1
SVN,linv,-1.4872901415034459,0.5397890934017863,1
SWE,linv,-1.0546097695886298,0.7328296318645624,1
SWZ,linv,-3.582310850841012,0.00610835183582623,1
SYC,linv,-2.7531704503315013,0.06528063910796009,1
TCD,linv,-4.056698283238447,0.001141055378834173,1
TGO,linv,-1.977312309274961,0.29660859144175755,1
THA,linv,-2.6125383017048103,0.09043344624743332,1
TJK,linv,-0.9358143659262633,0.7759496102919212,1
TKM,linv,-1.8452719733837086,0.3582281447737815,1
TLS,linv,-1.1903132257139284,0.6777487748866258,1
TON,linv,-2.1061148655459094,0.24206290312875728,1
TUN,linv,-1.18332859592024,0.6807259020241396,1
TUR,linv,-1.7151298720749677,0.4233344538729027,1
TZA,linv,-2.190299251463274,0.2097850896018021,1
UGA,linv,-1.9706564678327838,0.2995855312844761,1
UKR,linv,-1.4936696357237451,0.5366405229231809,1
URY,linv,-2.0496903922638903,0.265219211613566,1
USA,linv,-2.146642367837051,0.22617751944989584,1
UZB,linv,-1.932143331523808,0.31709419014135243,1
VEN,linv,-2.2282368424381,0.1961571673793152,1
VNM,linv,-2.0740322300548306,0.255083734669451,1
VUT,linv,-2.2023815117844943,0.2053822412013228,1
WSM,linv,-3.7422133131753537,0.0035570802486628687,1
XKX,linv,-1.8568060622287947,0.35264555681884696,1
YEM,linv,-1.6501264271802443,0.4569744900598667,1
ZAF,linv,-2.054384517187765,0.26324771826690363,1
ZMB,linv,-0.47529003830492705,0.8967489493518488,1
ZWE,linv,-2.2974673018005998,0.17278611827846946,1
